sku,upc,weight,height_cm,length_cm,width_cm,uom,image_url
A011-B,752044223111,0.2250,4.30,10.00,12.30,PK,http://champrosports.com/images/product/large/A011_1_black.jpg
A011-T,752044223104,0.2250,4.30,10.00,12.30,PK,http://champrosports.com/images/product/large/A011_1_tan.jpg
A014,752044648044,0.7050,20.60,14.20,4.10,EA,http://champrosports.com/images/product/large/A014-A019_1_.jpg
A015,752044648051,0.9150,20.50,14.10,4.20,EA,http://champrosports.com/images/product/large/A014-A019_1_.jpg
A016,752044648068,1.1750,20.60,14.10,4.20,EA,http://champrosports.com/images/product/large/A014-A019_1_.jpg
A017,752044648075,1.4450,20.50,14.10,4.30,EA,http://champrosports.com/images/product/large/A014-A019_1_.jpg
A020,752044223203,1.5600,14.00,17.80,11.80,DZ,http://champrosports.com/images/product/large/A020.jpg
A020R,752044688620,8.3700,12.30,31.60,18.90,DZ,http://champrosports.com/images/product/large/A020R_1_.jpg
A021,752044612526,2.2050,9.20,15.10,35.80,DZ,http://champrosports.com/images/product/large/A021_1_.jpg
A023,752044672711,0.6050,5.20,17.20,25.40,EA,http://champrosports.com/images/product/large/A023_1_.jpg
A026,752044223265,0.7050,11.20,17.90,14.00,DZ,http://champrosports.com/images/product/large/A026_1_.jpg
A027,752044223272,1.0550,11.30,24.00,20.60,DZ,http://champrosports.com/images/product/large/A027_1.jpg
A028,752044223289,4.3450,18.60,18.40,14.00,DZ,http://champrosports.com/images/product/large/A028_1_.jpg
A029,752044647931,2.8750,12.10,31.30,21.30,DZ,http://champrosports.com/images/product/large/A029_1_.jpg
A031B,752044846112,0.0650,3.00,6.40,19.00,EA,http://champrosports.com/images/product/large/A031_1_BLACK.jpg
A031NY,752044846150,0.0650,3.00,6.40,19.00,EA,http://champrosports.com/images/product/large/A031_1_navy.jpg
A031PT,752044058997,0.0650,3.00,6.40,19.00,EA,http://champrosports.com/images/product/large/A031_1_pinetar.jpg
A031PTOPOB,752044059000,0.0650,3.00,6.40,19.00,EA,http://champrosports.com/images/product/large/A031.jpg
A031PTPUGO,752044059017,0.0650,3.00,6.40,19.00,EA,http://champrosports.com/images/product/large/A031_1_pinetarpurplegold.jpg
A031PTRYO,752044059024,0.0650,3.00,6.40,19.00,EA,http://champrosports.com/images/product/large/A031_1_pinetarroyalorange.jpg
A031RY,752044846167,0.0650,3.00,6.40,19.00,EA,http://champrosports.com/images/product/large/A031_1_ROYAL.jpg
A031SC,752044846174,0.0650,3.00,6.40,19.00,EA,http://champrosports.com/images/product/large/A031_1_SCARLET.jpg
A031USA,752044995247,0.0650,3.00,6.40,19.00,EA,http://champrosports.com/images/product/large/A031_1_REDWHITEBLUE.jpg
A031WB,752044995254,0.0650,3.00,6.40,19.00,EA,http://champrosports.com/images/product/large/A031_1_webblack.jpg
A031WPK,752044995261,0.0650,3.00,6.40,19.00,EA,http://champrosports.com/images/product/large/A031_1_webpink.jpg
A032,752044685506,0.6150,12.50,7.10,17.60,DZ,http://champrosports.com/images/product/large/A032_1_.jpg
A034,752044869432,0.9900,4.90,76.70,16.90,EA,http://champrosports.com/images/product/large/A034_1_.jpg
A034P,752044895998,1.6400,4.60,76.20,17.20,EA,http://champrosports.com/images/product/large/A034P_1_.jpg
A035,752044886644,0.0700,2.40,7.50,11.30,EA,http://champrosports.com/images/product/large/A035_1_.jpg
A036,752044888112,0.0550,1.80,7.50,11.40,EA,http://champrosports.com/images/product/large/A036.jpg
A038P,752044693426,1.0600,7.00,11.30,13.10,DZ,http://champrosports.com/images/product/large/A038P_1_.jpg
A040,752044223401,3.0300,11.80,15.80,30.20,DZ,http://champrosports.com/images/product/large/A040_1_.jpg
A040P,752044223364,2.3350,8.90,27.20,14.40,DZ,http://champrosports.com/images/product/large/A040P_1_.jpg
A042,752044223425,1.2650,12.40,12.50,22.70,DZ,http://champrosports.com/images/product/large/A042_1_.jpg
A044P,752044664693,1.2000,8.30,19.60,12.80,DZ,http://champrosports.com/images/product/large/A044P_1_.jpg
A047,752044648136,0.1100,0.80,25.00,15.30,EA,http://champrosports.com/images/product/large/A047.jpg
A048,752044678409,1.2600,12.10,22.40,12.00,DZ,http://champrosports.com/images/product/large/A048_1_.jpg
A049B,752044675255,0.3300,5.80,13.50,10.30,EA,http://champrosports.com/images/product/large/A049_1_black.jpg
A049N,752044678393,0.3300,5.80,13.50,10.30,EA,http://champrosports.com/images/product/large/A049_1_navy.jpg
A050,752044846105,0.1550,5.30,17.70,10.50,EA,http://champrosports.com/images/product/large/A050_1_.jpg
A051,752044906595,11.1100,14.80,85.00,20.32,EA,http://champrosports.com/images/product/large/A051_1_.jpg
A058,752044223586,0.0800,1.70,13.80,17.20,EA,http://champrosports.com/images/product/large/A058-A058FR_1_black.jpg
A058-FR,752044223593,0.0800,1.80,14.00,16.80,EA,http://champrosports.com/images/product/large/A058-A058FR_1_black.jpg
A060B,752044225009,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_black.jpg
A060BR,752044225122,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_brown.jpg
A060CB,752044225085,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_lightblue.jpg
A060CD,752044225139,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_cardinal.jpg
A060FG,752044225047,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_forestgreen.jpg
A060GO,752044225115,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_gold.jpg
A060GR,752044225146,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_grey.jpg
A060KY,752044225054,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_kellygreen.jpg
A060MA,752044225092,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_maroon.jpg
A060NY,752044225023,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_navy.jpg
A060OP,752044862891,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_opticpink.jpg
A060OR,752044225061,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_orange.jpg
A060PK,752044740106,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_pink.jpg
A060PU,752044225078,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_purple.jpg
A060RY,752044225030,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_royal.jpg
A060SC,752044225016,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_scarlet.jpg
A060T,752044225153,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_teal.jpg
A060W,752044225108,0.2200,2.50,20.00,3.50,EA,http://champrosports.com/images/product/large/A060_1_white.jpg
A060YB,752044739766,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_black.jpg
A060YBR,752044739773,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_brown.jpg
A060YCB,752044739780,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_lightblue.jpg
A060YCD,752044739797,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_cardinal.jpg
A060YFG,752044739803,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_forestgreen.jpg
A060YGO,752044739810,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_gold.jpg
A060YGR,752044739827,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_grey.jpg
A060YKY,752044739834,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_kellygreen.jpg
A060YMA,752044739841,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_maroon.jpg
A060YNY,752044739858,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_navy.jpg
A060YOP,752044862907,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_opticpink.jpg
A060YOR,752044739865,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_orange.jpg
A060YPK,752044740090,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_pink.jpg
A060YPU,752044739872,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_purple.jpg
A060YRY,752044739889,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_royal.jpg
A060YSC,752044739896,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_scarlet.jpg
A060YT,752044739902,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_teal.jpg
A060YW,752044739919,0.1550,3.00,16.20,4.50,EA,http://champrosports.com/images/product/large/A060_1_white.jpg
A062B,752044225825,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_black.jpg
A062BR,752044225948,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_brown.jpg
A062CB,752044225900,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_lightblue.jpg
A062CD,752044225955,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_cardinal.jpg
A062FG,752044225863,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_forestgreen.jpg
A062GO,752044225931,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_gold.jpg
A062GR,752044225962,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_grey.jpg
A062KY,752044225870,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_kellygreen.jpg
A062MA,752044225917,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_maroon.jpg
A062NG,752044792112,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_neongreen.jpg
A062NY,752044225849,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_navy.jpg
A062OP,752044846181,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_opticpink.jpg
A062OR,752044225887,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_orange.jpg
A062PU,752044225894,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_purple.jpg
A062RY,752044225856,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_royal.jpg
A062SC,752044225832,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_scarlet.jpg
A062T,752044225979,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_teal.jpg
A062VG,752044925213,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_vegasgold.jpg
A062W,752044225924,0.2000,3.50,17.20,5.20,EA,http://champrosports.com/images/product/large/A062_1_white.jpg
A062YB,752044739926,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_black.jpg
A062YBR,752044740120,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_brown.jpg
A062YCB,752044739933,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_lightblue.jpg
A062YCD,752044739940,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_cardinal.jpg
A062YFG,752044739957,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_forestgreen.jpg
A062YGO,752044739964,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_gold.jpg
A062YGR,752044739971,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_grey.jpg
A062YKY,752044739988,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_kellygreen.jpg
A062YMA,752044739995,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_maroon.jpg
A062YNG,752044792105,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_neongreen.jpg
A062YNY,752044740007,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_navy.jpg
A062YOP,752044845702,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_opticpink.jpg
A062YOR,752044740014,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_orange.jpg
A062YPU,752044740021,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_purple.jpg
