retire_id,name,canonical_id,items_to_repoint,canonical_source
569,Athletic Heather,5206,0,production
570,Athletic Heather,5206,0,production
970,Athletic Heather,5206,0,production
1040,Athletic Heather,5206,0,production
1050,Athletic Heather,5206,0,production
1074,Athletic Heather,5206,0,production
1177,Athletic Heather,5206,0,production
2984,Athletic Heather,5206,0,production
630,Athletic Heather/Black,585,0,lowest-id
731,Athletic Royal,727,0,lowest-id
2983,Atomic Blue,1173,0,production
500,Black Heather,547,0,production
960,Black Heather/Black,631,0,lowest-id
873,Black/Gold,633,0,production
5009,Black/Graphite,589,0,production
7,Black/Grey,845,0,production
1182,Black/Red,613,0,production
948,Black/White,646,0,production
1186,Black/White,646,0,production
549,Carbon Heather,501,0,production
1803,Carbon Heather,501,0,production
723,Cardinal,487,0,production
1194,Cardinal/Black,593,0,lowest-id
879,Cardinal/White,594,0,production
7447,Chalky Mint,7446,0,production
517,Charcoal,595,0,production
4156,Classic Pink,4155,0,lowest-id
4158,COBALT BLUE,519,0,lowest-id
884,Graphite/Navy,883,0,lowest-id
525,Grey Heather,524,0,production
2834,Grey Smoke,4199,0,production
637,Grey/Black,887,0,production
582,Grey/Navy,889,0,production
1243,Grey/Royal,638,0,production
796,Grey/White,639,0,production
2090,Gusty Grey,3521,0,production
4205,HALO GREY,7436,0,production
1258,Heather Grey,1009,0,production
1264,Heather Grey,1009,0,production
1265,Heather Grey,1009,0,production
2101,Heather Royal,1272,0,production
1018,Hot Pink,1267,0,production
811,Light Blue,1297,0,production
4248,Light Blue,1297,0,production
899,Light Gold,896,0,lowest-id
7261,Light Olive,4252,0,lowest-id
1294,Lime,490,0,production
507,Maroon Heather,554,0,production
529,Maroon Heather,554,0,production
573,Maroon Heather,554,0,production
721,Medium Grey,951,0,production
1037,Midnight Navy,3279,0,production
1849,Midnight Navy,3279,0,production
722,Navy,531,0,production
508,Navy Heather,745,0,production
530,Navy Heather,745,0,production
558,Navy Heather,745,0,production
780,Navy Heather,745,0,production
618,Navy/Gold,11,0,lowest-id
954,Navy/Gold,11,0,lowest-id
907,Navy/Graphite,555,0,production
601,Navy/White,1310,0,production
641,Navy/White,1310,0,production
975,Neon Blue,2175,0,production
4279,NEON GREEN,1110,0,lowest-id
2435,New Navy,2436,0,production
533,Orange Heather,532,0,lowest-id
663,Orange/Black,1315,0,production
534,Pink,493,0,production
562,Purple Heather,536,0,lowest-id
1328,Purple/Gold,914,0,lowest-id
782,Red Heather,537,0,production
1331,Red/Black,623,0,production
920,Red/Graphite,579,0,production
624,Red/White,921,0,production
1333,Red/White/Black,683,0,production
930,Royal,565,0,production
1342,Royal,565,0,production
4317,ROYAL FROST,2463,0,production
538,Royal Heather,510,0,production
564,Royal Heather,510,0,production
1336,Royal/Black,1345,0,production
923,Royal/Gold,642,0,lowest-id
1118,Royal/Gold,642,0,lowest-id
958,Royal/Graphite,924,0,lowest-id
699,Royal/Grey/White,832,0,production
926,Royal/Royal,651,0,lowest-id
653,Royal/White,929,0,production
1066,Safety Green,992,0,production
1058,Safety Orange,1349,0,production
1149,Safety Orange,1349,0,production
539,Safety Yellow,1153,0,production
1151,Sapphire,748,0,production
604,Scarlet/White,936,0,production
2220,Stone Blue,3448,0,production
2697,Storm Grey,1366,0,lowest-id
1114,Teal,750,0,production
756,Team Navy,753,0,production
1038,Turquoise,1019,0,production
1097,Vintage Black,1060,0,lowest-id
6,White,1384,0,production
1382,White/Gold,643,0,lowest-id
943,White/Graphite,609,0,lowest-id
944,White/Maroon,667,0,production
946,White/Navy,610,0,production
