Internal ID,Name,Abbreviation
7477,Academy,Academy
7611,Airy Blue Heather,Airy Bl Heather
7525,Alabaster/Vintage Black,Alabaster/Black
1979,Alumina,Alumina
1174,Amethyst,Amethyst
1783,Anthracite,Anthracite
6103,Antique Cherry Red,Antique Cherry
2981,Apple,Apple
4104,Aquamarine,Aquamarine
7574,Aquatic Blue,Aquatic Blue
498,Ash,Ash
978,Asphalt,Asphalt
7482,Athletic Gold,Athletic Gold
512,Athletic Grey Triblend,Athltic Grey TB
5206,Athletic Heather,AthleticHeather
728,Athletic Kelly Green,Athletic Kelly
729,Athletic Maroon,Athletic Maroon
1173,Atomic Blue,Atomic Blue
1138,Azalea,Azalea
7531,Baby Blue,Baby Blue
2782,Beige,Beige
980,Berry,Berry
7581,Beryl Green Heather,BerylGrnHeather
546,Birch,Birch
2988,Bk/Dsg,Bk/Dsg
1993,Bk/Gs/Wh,Bk/Gs/Wh
4126,BK/VA,BK/VA
1076,Bkfo,Bkfo
2788,Bkhe,Bkhe
1155,Bkma,Bkma
4130,BKSH,BKSH
2792,Bktp,Bktp
1,Black,Black
4131,BLACK CEMENT,BLACK CEMENT
7615,Black Charcoal Heather,Black Charco He
2291,Black Frost,Black Frost
514,Black Heahter,Bkht
547,Black Heather,Bkhtr
500,Black Heather,Black Heather
7600,Black Heather Camo,Black Heat Camo
7461,Black Leopard,Black Leopard
4116,Black/Anthracite/Metallic Silver,BK/AN/MS
7619,Black/Anthracite/White,BK/AN/WH
7150,Black/Bkleo/Black,Blk/Bkleo/Blk
645,Black/Black,Black/Black
815,Black/Black/Red,Bk/Bk/Rd
822,Black/Black/White,Bk/Bk/Wh
7555,Black/Blue,Black/Blue
7536,Black/Castlerock,Black/Cstlerock
791,Black/Charcoal,Black/Charcoal
4118,Black/Charcoal Heather,Black/Charco He
6727,Black/Columbia Blue,Blk/ColBlu
1178,Black/Dark Grey,Black/Dark Grey
1992,Black/Deep Smoke,Black/DeepSmoke
633,Black/Gold,Black/Gold
4508,Black/Gp,Black/Gp
589,Black/Graphite,Bk/Gp
3481,Black/Graphite/White,Bk/Gp/Wh
845,Black/Grey,Bk/Gr
7,Black/Grey,Black/Grey
686,Black/Grey/White,Bk/Gr/Wh
967,Black/Heather Grey,Bk/Hg
5013,Black/Kh,Black/Kh
7514,Black/Neon Orange/Black,Blk/NeonOrg/Blk
7512,Black/Neon Yellow/Black,Blk/NeYlw/Blk
8,Black/Orange,Black/Orange
544,Black/Orange/White,B/O/W
613,Black/Red,Black/Red
1182,Black/Red,Bk/Red
6331,Black/Red/Black,Black/Red/Black
5112,Black/Red/White,Black/Red/White
846,Black/Royal,Bk/Ro
9,Black/Scarlet,Black/Scarlet
4600,Black/Silver,Black/Silver
1998,Black/Steel,Bk/St
6121,Black/Vintage Red,Black/Vin Red
646,Black/White,Black/White
687,Black/White/Black,Bk/Wh/Bk
3893,Black/White/Red,Bk/Wh/Rd
1999,Black/White/Royal,Bk/Wh/Ro
675,Black/White/Scarlet,Bk/Wh/Sc
784,Black/White/White,Bk/Wh/Wh
2799,Blacktop,Blacktop
4132,BLFOG,BLFOG
4133,BLGR,BLGR
2800,Blin,Blin
7560,Blossom,Blossom
724,Blpi,Blpi
763,Blue,Blue
3486,Blue Nights,Blue Nights
7538,Blue Tint/Grey,Blue Tint/Grey
7590,Blue/Black,Blue/Black
787,Blue/White,Bl/Wh
7460,Blush,Blush
2301,Blushfr,Blushfr
7608,Blustery/Navy,Blustery/Navy
3211,Bright Gold,Bright Gold
733,Bright Red,Bright Red
7492,Bright Seafoam,Bright Seafoam
7582,Brilliant Blue Heather,BrillBlueHeathr
7473,Brisk Blue,Brisk Blue
7552,Brite Orange,Brite Orange
7185,Brown,Brown
4144,BSBGR,BSBGR
7462,Buffalo Plaid,Buffalo Plaid
725,Burnt Orange,Burnt Orange
7454,Butter,Butter
1016,Cabl,Cabl
2015,Cabr,Cabr
515,Caht,Caht
7488,Cancun,Cancun
7588,Candy Pink,Candy Pink
7540,Canvas,Canvas
3212,Capi,Capi
734,Capk,Capk
1776,Carbon,Carbon
501,Carbon Heather,Carbon Heather
7470,Carbon Heather/Athletic Heather,CH/AH
487,Cardinal,Ca
723,Cardinal,Cardinal
7441,Cardinal Metallic,Cardnl Metallic
6155,Cardinal Red,Cardinal Red
594,Cardinal/White,Ca/Wh
2018,Carhtr,Carhtr
3386,Carolina Blue,Carolina Blue
7442,Carolina Blue Mist,Carolina Mist
4002,Castlerock,Cstrk
3995,Castlerock,Castlerock
4000,Castlerock,Cas
