retire_id,name,canonical_id,canonical_name,distance,items_to_repoint,canonical_items,canonical_in_ss_feed,confidence
598,Graphite/Black,7490,Graphite Black,1,17,0,yes,auto
493,Pink,989,Pine,1,14,0,yes,auto
539,Saye,4320,Sage,1,2,15,yes,auto
4303,RD,509,Red,1,1,598,yes,auto
1017,Forest Green,672,Forrest Green,1,51,75,no,review
2456,Red Frost,2354,Grey Frost,2,23,36,no,review
721,M. Gray,4268,Mod Gray,2,17,85,no,review
2345,Green Frost,2354,Grey Frost,2,16,36,no,review
4241,J.Navy,722,Navy,2,15,644,yes,review
4241,J.Navy,531,Navy,2,15,103,yes,review
554,Maroon Heather,501,Carbon Heather,2,12,9,yes,review
4030,Mod Grey,4268,Mod Gray,1,11,85,no,review
505,Gph,498,Ash,2,10,62,yes,review
514,Black Heahter,500,Black Heather,2,9,0,yes,review
514,Black Heahter,547,Black Heather,2,9,39,yes,review
3403,Gc,505,Gph,2,9,10,no,review
2042,Dgr,3403,Gc,2,8,9,no,review
2042,Dgr,2145,Mgrn,2,8,10,no,review
3772,Oy,3403,Gc,2,8,9,no,review
2023,Chbk,2421,Mbk,2,7,15,no,review
496,Steel,750,Teal,2,7,0,yes,review
644,White/Grey,629,White/Red,2,7,19,no,review
4133,BLGR,2042,Dgr,2,6,8,no,review
2651,Mgnt,2145,Mgrn,2,6,10,no,review
3755,Mna,2421,Mbk,2,6,15,no,review
3755,Mna,2651,Mgnt,2,6,6,no,review
3335,Sap,4320,Sage,2,6,15,yes,review
3335,Sap,810,Sand,2,6,0,yes,review
3335,Sap,1046,Tan,2,6,10,yes,review
4144,BSBGR,4133,BLGR,2,5,6,no,review
3404,Gch,498,Ash,2,5,62,yes,review
3404,Gch,3403,Gc,1,5,9,no,review
3404,Gch,505,Gph,1,5,10,no,review
3043,Grcon,6425,Iron,2,5,15,no,review
7436,Halo Grey,4204,Halo Gray,1,5,5,no,review
1271,Heather Red,1009,Heather Grey,2,5,15,yes,review
1279,Htgr,4133,BLGR,2,5,6,no,review
1279,Htgr,2042,Dgr,2,5,8,no,review
4029,Mnna,2651,Mgnt,2,5,6,no,review
4029,Mnna,3755,Mna,1,5,6,no,review
1854,Olive,490,Lime,2,5,36,yes,review
7185,Brown,6425,Iron,2,4,15,no,review
1776,Carbon,574,Maroon,2,4,213,yes,review
3015,Con Grey,2604,Cool Grey,2,4,9,no,review
3015,Con Grey,2641,Iron Grey,2,4,38,no,review
3015,Con Grey,4030,Mod Grey,2,4,11,no,review
2607,Db,2042,Dgr,2,4,8,no,review
2607,Db,3403,Gc,2,4,9,no,review
2607,Db,2421,Mbk,2,4,15,no,review
2607,Db,3772,Oy,2,4,8,no,review
3240,Dpna,3755,Mna,2,4,6,no,review
3240,Dpna,4029,Mnna,2,4,5,no,review
1825,Dpro,2042,Dgr,2,4,8,no,review
1825,Dpro,3240,Dpna,2,4,4,no,review
3248,Gcon,3403,Gc,2,4,9,no,review
3248,Gcon,3404,Gch,2,4,5,no,review
3248,Gcon,3043,Grcon,1,4,5,no,review
3248,Gcon,6425,Iron,2,4,15,no,review
1290,Kh,498,Ash,2,4,62,yes,review
1290,Kh,2607,Db,2,4,4,no,review
1290,Kh,3403,Gc,2,4,9,no,review
1290,Kh,3404,Gch,2,4,5,no,review
1290,Kh,505,Gph,2,4,10,no,review
1290,Kh,3772,Oy,2,4,8,no,review
4297,PARCH,546,Birch,2,4,2,yes,review
4331,SLTGR,4133,BLGR,2,4,6,no,review
4331,SLTGR,1279,Htgr,2,4,5,no,review
2301,Blushfr,7460,Blush,2,3,1,yes,review
2091,Habl,2983,Atbl,2,3,3,no,review
2096,Hdt,2607,Db,2,3,4,no,review
7452,Heather Green,1264,Heather Grey,2,3,0,yes,review
7452,Heather Green,1009,Heather Grey,2,3,15,yes,review
1034,In,2607,Db,2,3,4,no,review
1034,In,3403,Gc,2,3,9,no,review
1034,In,6425,Iron,2,3,15,no,review
1034,In,1290,Kh,2,3,4,no,review
1034,In,3755,Mna,2,3,6,no,review
1034,In,3772,Oy,2,3,8,no,review
1034,In,989,Pine,2,3,0,yes,review
1034,In,493,Pink,2,3,14,no,review
1034,In,1046,Tan,2,3,10,yes,review
4024,Mdgry,2042,Dgr,2,3,8,no,review
4024,Mdgry,2145,Mgrn,2,3,10,no,review
3432,Ne Ye,3296,Ne/Yl,2,3,7,no,review
3084,Neyl,3432,Ne Ye,2,3,3,no,review
3084,Neyl,3296,Ne/Yl,1,3,7,no,review
3084,Neyl,750,Teal,2,3,0,yes,review
537,Red Heather,524,Grey Heather,2,3,26,yes,review
537,Red Heather,2356,Grey Heather,2,3,0,yes,review
537,Red Heather,525,Grey Heather,2,3,0,yes,review
683,Red/White/Black,6788,Grey/White/Black,2,3,3,no,review
2885,SGH,498,Ash,2,3,62,yes,review
2885,SGH,2042,Dgr,2,3,8,no,review
2885,SGH,3403,Gc,2,3,9,no,review
2885,SGH,3404,Gch,2,3,5,no,review
2885,SGH,505,Gph,2,3,10,no,review
2885,SGH,1290,Kh,2,3,4,no,review
2885,SGH,4320,Sage,2,3,15,yes,review
2885,SGH,3335,Sap,2,3,6,no,review
6012,Si/Red,4525,Gp/Red,2,3,3,no,review
3455,Trh,498,Ash,2,3,62,yes,review
3455,Trh,3404,Gch,2,3,5,no,review
3455,Trh,505,Gph,2,3,10,no,review
3455,Trh,1290,Kh,2,3,4,no,review
3455,Trh,2885,SGH,2,3,3,no,review
3455,Trh,1046,Tan,2,3,10,yes,review
2898,Trnv,1046,Tan,2,3,10,yes,review
2898,Trnv,3455,Trh,2,3,3,no,review
2792,Bktp,1076,Bkfo,2,2,2,no,review
550,Chhtr,515,Caht,2,2,2,no,review
2312,Coast,515,Caht,2,2,2,no,review
2278,Dark Grey,635,Dark Green,2,2,62,yes,review
2057,Dpbk,2023,Chbk,2,2,7,no,review
2057,Dpbk,2607,Db,2,2,4,no,review
2057,Dpbk,3240,Dpna,2,2,4,no,review
2057,Dpbk,1825,Dpro,2,2,4,no,review
2057,Dpbk,2421,Mbk,2,2,15,no,review
3037,Grey/Black Buffalo Check,4304,Red/Black Buffalo Check,2,2,4,no,review
526,Grth,3404,Gch,2,2,5,no,review
526,Grth,505,Gph,2,2,10,no,review
526,Grth,959,Grey,2,2,0,yes,review
526,Grth,523,Grey,2,2,0,yes,review
526,Grth,3455,Trh,2,2,3,no,review
2371,Hlb,2607,Db,2,2,4,no,review
2371,Hlb,2091,Habl,2,2,3,no,review
2371,Hlb,2096,Hdt,2,2,3,no,review
1031,Htna,3240,Dpna,2,2,4,no,review
1031,Htna,2104,Hg/Na,2,2,2,no,review
1031,Htna,1279,Htgr,2,2,5,no,review
1031,Htna,3755,Mna,2,2,6,no,review
1031,Htna,4029,Mnna,2,2,5,no,review
3054,Ig/Wh,3506,Do/Wh,2,2,8,no,review
2843,Lgt,4133,BLGR,2,2,6,no,review
2843,Lgt,2042,Dgr,2,2,8,no,review
2843,Lgt,3403,Gc,2,2,9,no,review
2843,Lgt,2096,Hdt,2,2,3,no,review
2843,Lgt,2651,Mgnt,2,2,6,no,review
