color_value_id,current_name,new_full_name
1,Black,Black/ Black
1006,Flbl,Flo Blue
1013,Icbl,Ice Blue
1016,Cabl,Carolina Blue
1066,Sagr,Safety Green
1073,Spgr,Sport Grey
1110,Negr,Neon Green
1121,Migr,Mint Green
1142,Elgr,Electric Green
1149,Saor,Safety Orange
1182,Black/Red,Black/ Red
1188,Blje,Blue Jean
1192,Brsa,Brown Savana
1204,Chpi,Charity Pink
1233,Gold/Black,Gold/ Black
1258,Hegr,Heather Grey
1324,Pobl,Poseidon Blue
1336,Royal/Black,Royal/ Black
1363,Steel/Black,Steel/ Black
1367,Tobl,Topaz Blue
1782,Anhe,Antique Heliconia
1803,Cahe,Carbon Heather
1810,Copu,Court Purple
1836,Hebl,Heather Blue
1849,Mina,Midnight Navy
1861,Pigr,Pine Green
1871,Royal Cardinal,Royal Caribe
1894,Vihebl,Vintage Heather Blue
20,White/Cardinal,White/ Cardinal
2010,Bror,Brite Orange
2015,Cabr,Carhartt Brown
2021,Cebl,Celadon Blue
2025,Chhe,Charcoal Heather
2037,Cypi,Cyber Pink
2065,Dubl,Dusty Blue
2090,Gugr,Gusty Grey
2100,Hena,Heather Navy
2101,Hero,Heather Royal
2147,Migrhe,Military Green Heather
2208,Scbl,Scuba Blue
2209,Shgr,Shadow Grey
2220,Stbl,Stone Blue
2333,Flblhe,Flint Blue Heather
2338,Fufr,Fuchsia Frost
2354,Grfr,Grey Frost
2363,Hech,Heathered Charcoal
2412,Lihegr,Light Heather Grey
2432,Nafr,Navy Frost
2435,Nena,New Navy
2439,Norohe,Nostalgia Rose Heather
2451,Pufr,Purple Frost
2463,Rofr,Royal Frost
2471,Tufr,Turquoise Frost
2477,Waco,Washed Coal
2615,Drblna,Dress Blue Navy
2624,Esbl,Estate Blue
2638,Hybl,Hyper Blue
2641,Irgr,Iron Grey
2656,Nahe,Natural Heather
2666,Pegr,Pearl Grey
2671,Piaz,Pink Azalea
2672,Pibl,Pink Blossom
2683,Rebl,Regatta Blue
2695,Slye,Slicker Yellow
2697,Stgr,Storm Grey
2807,Debl,Denim Blue
2810,Dibl,Direct Blue
2823,Elbl,Electric Blue
2830,Gegr,Gear Grey
2834,Grsm,Grey Smoke
2850,Meblhe,Medium Blue Heather
2870,Popu,Posh Purple
2980,Angr,Anchor Grey
2983,Atbl,Atomic Blue
2984,Athe,Athletic Heather
3001,Blno,Blue Note
3011,Chgr,Charcoal Grey
3013,Clbl,Classic Blue
3027,Duro,Dusty Rose
3057,Inbl,Insignia Blue
3096,Piru,Pink Rush
3186,Asgr,Asphalt Grey
3211,Brgo,Bright Gold
3223,Cobr,Coyote Brown
3244,Flgr,Flash Green
3344,Smpegr,Smoked Pearl Grey
3486,Blni,Blue Nights
3722,Jado,Jade Dome
4025,Megrhe,Meld Grey Heather
4156,CLPI,Classic Pink
4201,GRSTHE,Grey Steel Heather
4214,HEDU,Heather Dust
4217,HEMA,Heather Mauve
4218,HEOL,Heather Olive
4236,INBLHE,Insignia Blue Heather
4243,KEBLHE,Kentucky Blue Heather
4248,LIBL,Light Blue
4250,LIGRHE,Light Grey Heather
4252,LIOL,Light Olive
4257,LUBL,Lunar Blue
4290,ORANGE TB,Orange Triblend
4292,ORHA,Orchid Haze
4330,SITA,Silver Tan
4346,TAGR,Tactical Green
4363,VIWH,Vintage White
4373,WHON,White Onyx
509,Red,Red/ Light Stone
519,Cobl,Cobalt Blue
524,Grey Heather,Graphite Heather
539,Saye,Safety Yellow
565,Royal,Royal Blue
599,Graphite/White,Graphite/ White
6,White,White Triad Solid
601,Navy/White,Navy/ White
610,White/Navy,White/ Navy
6141,Cosi,Coral Silk
6165,Gabl,Galapagos Blue
623,Red/Black,Red/ Black
6238,Sapi,Safety Pink
6253,Tugr,Turf Green
629,White/Red,White/ Red
637,Grey/Black,Grey/ Black
639,Grey/White,Grey/ White
645,Black/Black,Black/ Black
646,Black/White,Black/ White
657,White/Black,White/ Black
658,White/Royal,White/ Royal
659,White/White,White/ White
724,Blpi,Blush Pink
7264,Lugr,Lucky Green
7301,Olkh,Olive Khaki
732,Braq,Bright Aqua
7374,Unbl,University Blue
7376,Vapu,Varsity Purple
7379,Varo,Varsity Royal
791,Black/Charcoal,Black/ Charcoal
836,Team Grey,Teal Green
847,Charcoal/Black,Charcoal/ Black
945,White/Purple,White/ Purple
975,Nebl,Neon Blue
976,Trbl,True Blue
