token,item_count,final_name,status,notes
AthleticHeather,67,Athletic Heather,auto,abbrev
Si,40,Silver,user,
Roy,27,Royal,user,
KG,26,Kelly Green,user,
DarkGreyHeather,25,Dark Grey Heather,auto,abbrev
Nepi,25,Neon Pink,auto,heuristic
Grfr,25,Grey Frost,user,
Sc,23,Scarlet,user,
Lm,23,Lime,inferred,
Bk/Wh,21,Black/White,auto,compound
Sagr,20,Safety Green,auto,heuristic
Athletic Kelly,20,Athletic Kelly Green,auto,abbrev
Whi,19,White,inferred,
GraphiteHeather,19,Graphite Heather,auto,abbrev
Lthtgr,19,Light Grey Heather,user,
Na/Wh,18,Navy/White,auto,compound
Wh/Na,17,White/Navy,auto,compound
Gp,17,Graphite,inferred,
Crd,17,Cardinal,user,
Rofr,17,Royal Frost,auto,heuristic
HeatherCardinal,16,Heather Cardinal,auto,abbrev
Saf Orange/Refl,16,Safety Orange/Reflective,auto,abbrev
Saf Yellow/Refl,16,Safety Yellow/Reflective,auto,abbrev
Bk/Ch,16,Black/Charcoal,auto,compound
True Navy/NaHe,16,True Navy/True Navy Heather,auto,abbrev
Sg,15,Sport Grey,inferred,
Mdgr,15,M. Gray,auto,abbrev
NA/WH,14,Navy/White,auto,compound
Gr/Na,14,Grey/Navy,auto,abbrev
Chrcoal Heather,13,Charcoal Heather,auto,abbrev
Gp/Bk,13,Graphite/Black,auto,abbrev
Mgh,12,Medium Grey Heather,auto,abbrev
Bkfr,12,Black Frost,inferred,
DarkHeatherGrey,12,Dark Heather Grey,auto,abbrev
Forest Green/Wh,12,Forest Green/White,auto,abbrev
Pi,11,Pink,inferred,
Nahea,11,Navy Heather,inferred,
Cb/Wh,11,Columbia Blue/White,auto,abbrev
Airy Bl Heather,11,Airy Blue Heather,auto,abbrev
QuietShaGrey He,11,Quiet Shade Grey Heather,auto,abbrev
Ca,10,Cardinal,auto,abbrev
Saph,10,Sapphire,inferred,
Carobl,10,Carolina Blue,inferred,
WH/NA,10,White/Navy,auto,compound
W/R/R,10,White/Royal/Royal,auto,abbrev
Dkgrht,10,Dark Grey Heather,auto,abbrev
GridIron Silver,10,Grid Iron Silver,auto,abbrev
Rd/Bk,9,Red/Black,auto,abbrev
Sfpi,9,Safety Pink,inferred,
Kg/Wh,9,Kelly Green/White,auto,abbrev
Wh/Rd,9,White/Red,auto,abbrev
Bk/Gr,9,Black/Grey,auto,abbrev
Elbl,9,Electric Blue,auto,abbrev
Team Purple Hea,9,Team Purple Heather,auto,abbrev
Neor,9,Neon Orange,auto,abbrev
Trna,8,True Navy,auto,abbrev
Modgrey,8,Mod Grey,auto,abbrev
Ameth,8,Amethyst,auto,prefix
Sfor,8,Safety Orange,auto,abbrev
Grey 3 Melange,8,Grey Three Melange,auto,abbrev
Wh/Sc,8,White/Scarlet,auto,abbrev
Heather Neptune,8,Heathered Neptune Blue,auto,abbrev
Grhtr,8,Grey Heather,inferred,
Grey-Black Elec,8,Grey-Black Electric,auto,abbrev
BK/AN/WH,8,Black/Anthracite/White,auto,abbrev
Txor,8,Texas Orange,inferred,
VintageHe/Black,8,Vintage Heather/Black,auto,abbrev
Team KellyGreen,7,Team Kelly Green,auto,abbrev
Bk/Gd,7,Black/Gold,auto,compound
Rowh,7,Royal/White,inferred,
MilGreenHe,7,Military Green Heather,auto,abbrev
Focus Bl Melang,7,Focus Blue Melange,auto,abbrev
Green Ox Melang,7,Green Oxide Melange,auto,abbrev
Solid Athl Grey,7,Solid Athletic Grey,auto,abbrev
Rohtr,7,Royal Heather,auto,abbrev
Gry,7,Grey,auto,abbrev
LiGrHe,7,Light Grey Heather,auto,abbrev
TrueNavyHeather,7,True Navy Heather,auto,abbrev
Neye,7,Neon Yellow,inferred,
Jtbk,7,Jet Black,inferred,
Black Heat Camo,7,Black Heather Camo,auto,abbrev
Heath Navy Camo,7,Heather Navy Camo,auto,abbrev
ConGryHtr,7,Concrete Grey Heather,auto,abbrev
Charcoal Gr Hea,7,Charcoal Grey Heather,auto,abbrev
Ltbl,6,Light Blue,inferred,
Hgr,6,Heather Grey,inferred,
Sftyor,6,Safety Orange,auto,abbrev
Sc/Black/White,6,Scarlet/Black/White,auto,abbrev
