token,item_count,proposed_name,method,alternatives
AthleticHeather,67,Athletic Heather,abbrev,
Si,40,,UNRESOLVED,Si/Black; Si/Navy; Si/Red; Silver
Roy,27,,UNRESOLVED,Royal; Royal Frost; Royal Heather; Royal/Black
KG,26,,UNRESOLVED,
DarkGreyHeather,25,Dark Grey Heather,abbrev,
Nepi,25,Neon Pink,heuristic,
Grfr,25,,UNRESOLVED,Green Frost; Grey Frost
Sc,23,,UNRESOLVED,SC/ST; Sc/Bk/Wh; Scarlet; Scarlet/Black/White
Lm,23,,UNRESOLVED,
Bk/Wh,21,Black/White,compound,
Sagr,20,Safety Green,heuristic,
Athletic Kelly,20,Athletic Kelly Green,abbrev,
Whi,19,,UNRESOLVED,White; White/Ah; White/Aluminum/Navy; White/Black
GraphiteHeather,19,Graphite Heather,abbrev,
Lthtgr,19,,UNRESOLVED,
Na/Wh,18,Navy/White,compound,
Wh/Na,17,White/Navy,compound,
Gp,17,,UNRESOLVED,Gp/Red; Gp/White/Gp; Gph
Crd,17,,UNRESOLVED,
Rofr,17,Royal Frost,heuristic,
HeatherCardinal,16,Heather Cardinal,abbrev,
Saf Orange/Refl,16,Safety Orange/Reflective,abbrev,
Saf Yellow/Refl,16,Safety Yellow/Reflective,abbrev,
Bk/Ch,16,Black/Charcoal,compound,
True Navy/NaHe,16,True Navy/True Navy Heather,abbrev,
Sg,15,,UNRESOLVED,SGH; Sgg
Mdgr,15,M. Gray,abbrev,
NA/WH,14,Navy/White,compound,
Gr/Na,14,Grey/Navy,abbrev,
Chrcoal Heather,13,Charcoal Heather,abbrev,
Gp/Bk,13,Graphite/Black,abbrev,
Mgh,12,Medium Grey Heather,abbrev,
Bkfr,12,,UNRESOLVED,
DarkHeatherGrey,12,Dark Heather Grey,abbrev,
Forest Green/Wh,12,Forest Green/White,abbrev,
Pi,11,,UNRESOLVED,PITCH GRAY; Pi/White; Pine; Pink
Nahea,11,,UNRESOLVED,
Cb/Wh,11,Columbia Blue/White,abbrev,
Airy Bl Heather,11,Airy Blue Heather,abbrev,
QuietShaGrey He,11,Quiet Shade Grey Heather,abbrev,
Ca,10,Cardinal,abbrev,
Saph,10,,UNRESOLVED,
Carobl,10,,UNRESOLVED,
WH/NA,10,White/Navy,compound,
W/R/R,10,White/Royal/Royal,abbrev,
Dkgrht,10,Dark Grey Heather,abbrev,
GridIron Silver,10,Grid Iron Silver,abbrev,
Rd/Bk,9,Red/Black,abbrev,
Sfpi,9,,UNRESOLVED,
Kg/Wh,9,Kelly Green/White,abbrev,
Wh/Rd,9,White/Red,abbrev,
Bk/Gr,9,Black/Grey,abbrev,
Elbl,9,Electric Blue,abbrev,
Team Purple Hea,9,Team Purple Heather,abbrev,
Neor,9,Neon Orange,abbrev,
Trna,8,True Navy,abbrev,
Modgrey,8,Mod Grey,abbrev,
Ameth,8,Amethyst,prefix,
Sfor,8,Safety Orange,abbrev,
Grey 3 Melange,8,Grey Three Melange,abbrev,
Wh/Sc,8,White/Scarlet,abbrev,
Heather Neptune,8,Heathered Neptune Blue,abbrev,
Grhtr,8,,UNRESOLVED,
Grey-Black Elec,8,Grey-Black Electric,abbrev,
BK/AN/WH,8,Black/Anthracite/White,abbrev,
Txor,8,,UNRESOLVED,
VintageHe/Black,8,Vintage Heather/Black,abbrev,
Team KellyGreen,7,Team Kelly Green,abbrev,
Bk/Gd,7,Black/Gold,compound,
Rowh,7,,UNRESOLVED,
MilGreenHe,7,Military Green Heather,abbrev,
Focus Bl Melang,7,Focus Blue Melange,abbrev,
Green Ox Melang,7,Green Oxide Melange,abbrev,
Solid Athl Grey,7,Solid Athletic Grey,abbrev,
Rohtr,7,Royal Heather,abbrev,
Gry,7,Grey,abbrev,
LiGrHe,7,Light Grey Heather,abbrev,
TrueNavyHeather,7,True Navy Heather,abbrev,
Neye,7,,UNRESOLVED,Ne Ye; Neon Yellow
Jtbk,7,,UNRESOLVED,
Black Heat Camo,7,Black Heather Camo,abbrev,
Heath Navy Camo,7,Heather Navy Camo,abbrev,
ConGryHtr,7,Concrete Grey Heather,abbrev,
Charcoal Gr Hea,7,Charcoal Grey Heather,abbrev,
Ltbl,6,,UNRESOLVED,
Hgr,6,,UNRESOLVED,
Sftyor,6,Safety Orange,abbrev,
Sc/Black/White,6,Scarlet/Black/White,abbrev,
Sigr,6,Silver Grey,heuristic,
Grey/Na,6,Grey/Navy,abbrev,
Athltic Grey TB,6,Athletic Grey Triblend,abbrev,
Bk/Rd,6,Black/Red,compound,
Nafr,6,Navy Frost,heuristic,
Black Charco He,6,Black Charcoal Heather,abbrev,
Grh,6,Grey Heather,abbrev,
Brrd,6,,UNRESOLVED,
Ultramarine,6,Ultramarine Blue,abbrev,
BerylGrnHeather,6,Beryl Green Heather,abbrev,
BrillBlueHeathr,6,Brilliant Blue Heather,abbrev,
Opal Bl Heather,6,Opal Blue Heather,abbrev,
QuietShGrHe/Bk,6,Quiet Shade Grey Heather/Black,abbrev,
St,5,,UNRESOLVED,Stealth; Stealth/Black; Steel; Steel Grey
Castlerock/BK,5,Castlerock/Black,abbrev,
Cstlrk,5,,UNRESOLVED,
Sygn,5,Safety Green,abbrev,
Cardnl Metallic,5,Cardinal Metallic,abbrev,
Mdg,5,Mdgry,prefix,
Grhe,5,,UNRESOLVED,Graphite Heather; Grey Heather
Ox,5,,UNRESOLVED,Ox/Navy; Oxford
Bkht,5,Black Heahter,abbrev,
Unrd,5,,UNRESOLVED,
Wh/Ro,5,White/Royal,compound,
Ch/Bk,5,Charcoal/Black,abbrev,
Li Wa Denim,5,Light Washed Denim,abbrev,
Ltgr,5,Light Grey,abbrev,
Heathr Charcoal,5,Heathered Charcoal,abbrev,
Bk/Wh/Sc,5,Black/White/Scarlet,abbrev,
Light Hthr Grey,5,Light Heather Gray,abbrev,
MGH,5,Medium Grey Heather,abbrev,
Crdrd,5,,UNRESOLVED,
Lt Blue,5,Light Blue,abbrev,
Wh/Pu,5,White/Purple,abbrev,
Ma/Wh,5,,UNRESOLVED,
Black-Large/X,4,,UNRESOLVED,
White-Youth X,4,,UNRESOLVED,
Maroon/GR/WH,4,Maroon/Gray/White,abbrev,
White/GR/BK,4,White/Grey/Black,abbrev,
CH/AH,4,Carbon Heather/Athletic Heather,abbrev,
Sublimation-Youth X,4,,UNRESOLVED,
Hp,4,Hot Pink,abbrev,
BK/RD,4,Black/Red,compound,
CB/Graphite,4,Columbia Blue/Graphite,abbrev,
Maroon/Gp,4,Maroon/Graphite,abbrev,
Red/Gp,4,Red/Graphite,abbrev,
Power Red/Gr/Wh,4,Team Power Red/Clear Grey/White,abbrev,
Black/Cstlerock,4,Black/Castlerock,abbrev,
Mahtr,4,,UNRESOLVED,
Bor,4,,UNRESOLVED,
Gr/Wh,4,Grey/White,abbrev,
Grtri,4,Grey Triblend,abbrev,
Hrd,4,Heather Red,abbrev,
BK/GD,4,Black/Gold,compound,
Rdfr,4,,UNRESOLVED,
Na/Cb,4,Navy/Columbia Blue,abbrev,
Pink Rush Heath,4,Pink Rush Heather,abbrev,
Red/Royal/Wht,4,Red/Royal/White,abbrev,
Ne Or,4,,UNRESOLVED,
Rd/W,4,,UNRESOLVED,
Vg/Bk,4,,UNRESOLVED,
ForGrn/White,4,Forrest Green/White,abbrev,
Or/Wh,4,Orange/White,abbrev,
Bk/Bk/Wh,3,Black/Black/White,abbrev,
Red-Youth X,3,,UNRESOLVED,
Lb,3,Light Blue,abbrev,
Alabaster/Black,3,Alabaster/Vintage Black,abbrev,
Bk/Sc,3,Black/Scarlet,compound,
Bkh,3,Bkhe,prefix,
SUMMIT,3,Summit White,prefix,
Gr/Bk,3,Grey/Black,abbrev,
Gphtr,3,Graphite Heather,abbrev,
Youth X,3,,UNRESOLVED,
Red/Buffalo,3,Red/Black Buffalo Check,abbrev,
Navy-Large/X,3,,UNRESOLVED,
MeGrHe,3,Meld Grey Heather,abbrev,
Wh/Fg,3,White/Forest Green,abbrev,
Black-Youth X,2,,UNRESOLVED,
Navy-Youth X,2,,UNRESOLVED,
Royal-Youth X,2,,UNRESOLVED,
Matte Mar,2,Matte Maroon,prefix,
Elem Agua Black,2,Elements Agua Blackfin,abbrev,
Mnt,2,,UNRESOLVED,
Hpu,2,Heather Purple,abbrev,
White/Grey/Blac,2,White/Grey/Black,prefix,
Bk/Gr/Wh,2,Black/Grey/White,abbrev,
Black-2X,2,,UNRESOLVED,
Vint Turquoise,2,Vintage Turquoise,abbrev,
Royal-Large/X,2,,UNRESOLVED,
White-Large/X,2,,UNRESOLVED,
Sc/Wh/Bk,2,Scarlet/White/Black,abbrev,
GreySmokeHeathe,2,Grey Smoke Heather,abbrev,
Diblu,2,,UNRESOLVED,
DSH,2,Deep Smoke Heather,abbrev,
PAR BLUE,2,,UNRESOLVED,
Roh,2,Royal Heather,abbrev,
VIHE/BK,2,,UNRESOLVED,
Pirht,2,,UNRESOLVED,
Sy,2,Sy/Gp,prefix,
WH/FG,2,White/Forest Green,abbrev,
Dk Gr,2,Dark Grey,abbrev,
Pu/Wh,2,,UNRESOLVED,
Gr/Rd,2,Grey/Red,abbrev,
Youth 2X,2,,UNRESOLVED,
Bk/Wh/Bk,1,Black/White/Black,abbrev,
Blk/NeonOrg/Blk,1,Black/Neon Orange/Black,abbrev,
Blk/NeYlw/Blk,1,Black/Neon Yellow/Black,abbrev,
ColBlu/Wt/ColB,1,Columbia Blue/White/Columbia Blue,abbrev,
Gra/NeGrn/Gra,1,Graphite/ Neon Green/Graphite,abbrev,
Grey/Beige/Gold,1,Heather Grey/Beige/Amber Gold,abbrev,
HG/Beige/OcnBlu,1,Heather Grey/Beige/Ocean Blue,abbrev,
HG/LtChar/OcBlu,1,Heather Grey/Light Charcoal/Ocean Blue,abbrev,
HG/LtChar/Red,1,Heather Grey/Light Charcoal/Varsity Red,abbrev,
Khak/Brwn/Khak,1,Khaki/Brown/Khaki,abbrev,
Maroon/Wt/Marn,1,Maroon/White/Maroon,abbrev,
Gp/Bk-Large/X,1,,UNRESOLVED,
Columbia Blue-Youth X,1,,UNRESOLVED,
Forest Green-Youth X,1,,UNRESOLVED,
Mod Gray-Youth X,1,,UNRESOLVED,
Orange-Youth X,1,,UNRESOLVED,
Purple-Youth X,1,,UNRESOLVED,
Gry/Wht/Blk-Large/X,1,,UNRESOLVED,
Antique Cherry,1,Antique Cherry Red,abbrev,
Char,1,Charcoal,abbrev,
Crnslk,1,,UNRESOLVED,
Skbl,1,Sky Blue,heuristic,
Vapu,1,Varsity Purple,heuristic,
White-2x,1,,UNRESOLVED,
Gd/Ro,1,Gold/Royal,abbrev,
Ca/Ro,1,,UNRESOLVED,
Ca/Bk,1,,UNRESOLVED,
Sc/Wh,1,Scarlet/White,compound,
BK/CHHE,1,,UNRESOLVED,
Charcoal Healther,1,,UNRESOLVED,
Nat,1,,UNRESOLVED,Natb; Natural; Natural Heather; Natural/Black
NAT,1,,UNRESOLVED,Natb; Natural; Natural Heather; Natural/Black
Bk/Wh/Rd-Large/X,1,,UNRESOLVED,
Bk/Wh/Rd,1,Black/White/Red,abbrev,
Graphite/NeYe-Large/X,1,,UNRESOLVED,
Graphite/NeYe,1,Graphite/Neon Yellow/Graphite,abbrev,
Vg,1,Vg/Black,prefix,
Wh/Rd-Large/X,1,,UNRESOLVED,
Navy-2X,1,,UNRESOLVED,
Nv/Wh,1,Navy/White,abbrev,
StoneWash Denim,1,Stone Wash Denim,abbrev,
Vntny,1,Vintage Navy,abbrev,
Carolina Mist,1,Carolina Blue Mist,abbrev,
Dark Green-Large/X,1,,UNRESOLVED,
Ox/Navy2X,1,,UNRESOLVED,
Gr3,1,,UNRESOLVED,
Na/Gr,1,Navy/Grey,abbrev,
-Navy,1,,UNRESOLVED,
WH/RO,1,White/Royal,compound,
SOBLACK,1,,UNRESOLVED,
Asph,1,Asphalt,prefix,
Wh/Na-Youth X,1,,UNRESOLVED,
Grey-Youth X,1,,UNRESOLVED,
Royal/Crb,1,Royal/Carbon,abbrev,
Scar/Wht/Ryl,1,Scarlet/White/Royal,abbrev,
Hech,1,Heathered Charcoal,heuristic,
GeraniumHeather,1,Geranium Heather,abbrev,
Vbl,1,Valor Blue,abbrev,
Royal-2X,1,,UNRESOLVED,
Bk/Or,1,,UNRESOLVED,
Large/X,1,,UNRESOLVED,
WH/BK/BK,1,White/Black/Black,compound,
Rbn,1,,UNRESOLVED,
Naht,1,,UNRESOLVED,
GRHE,1,,UNRESOLVED,Graphite Heather; Grey Heather
Pond Blhe,1,,UNRESOLVED,
Bk/Ro,1,Black/Royal,abbrev,
Sc-Large/X,1,,UNRESOLVED,
Bk/St,1,Black/Steel,abbrev,
White/Grey-Large/X,1,,UNRESOLVED,
Bk/Gp,1,Black/Graphite,abbrev,
Na/Gp,1,Navy/Graphite,abbrev,
Bk/Gp/Wh,1,Black/Graphite/White,abbrev,
Na/Gr/Wh,1,Navy/Grey/White,abbrev,
Ro/Bk/Wh,1,Royal/Black/White,abbrev,
Brgo,1,Bright Gold,heuristic,
True RoyalX,1,,UNRESOLVED,
GR/BKBuffalo,1,Grey/Black Buffalo Check,abbrev,
Grey-Large/X,1,,UNRESOLVED,
White/Royal-Large/X,1,,UNRESOLVED,
Wh/Na-Large/X,1,,UNRESOLVED,
Blk/ColBlu-Large/X,1,,UNRESOLVED,
Cb/Wh-Large/X,1,,UNRESOLVED,
Wh/Dg-Large/X,1,,UNRESOLVED,
Carolina Blue-6X,1,,UNRESOLVED,
Irgr,1,,UNRESOLVED,Iron Grey; Iron Grey/White
Cb/Na,1,Columbia Blue/Navy,abbrev,
DKHEGR/BK,1,Dark Heather Grey/Black,abbrev,
"Green-1.5"" X 42""",1,,UNRESOLVED,
Qsg-Large/X,1,,UNRESOLVED,
Scooter Red,1,Scooter Red Heather,abbrev,
Wh/Urd,1,,UNRESOLVED,
Powder Blue/BK,1,Powder Blue/Black,abbrev,
Mbk-Large/X,1,,UNRESOLVED,
Con Grey-Youth X,1,,UNRESOLVED,
KG-Youth X,1,,UNRESOLVED,
Lm-Youth X,1,,UNRESOLVED,
Maroon-Youth X,1,,UNRESOLVED,
Txor-Youth X,1,,UNRESOLVED,
Dprd,1,,UNRESOLVED,
