Internal ID,Name,Display Name,SubType,Description,Purchase Description,Vendor Name,Store Display Name,Store Description,Primary Units Type,Primary Stock Unit,Primary Purchase Unit,Primary Sale Unit,Display in Web Site,Purchase Price,Preferred Vendor,Base Price,10% Off,Alternate Price 2,Team,Income Account,Asset Account,Expense/COGS Account,Costing Method,On Special,Tax Schedule,On Hand,Available,On Order,Committed,Back Ordered,Reorder Point,Preferred Stock Level,Reorder Multiple,Drop Ship Item,Special Order Item,Copy SO Descr.,Weight,Weight Units,Class,Department,Date Created,Last Modified,Engineering Status,Sales Order Customer
83718,#21,Youth Belt,,Youth Belt,Youth Belt,21,,,Each,Each,Each,Each,No,2.39,,4.95,4.46,,4.46,SALES OF MERCHANDISE,INVENTORY,COST OF MERCHANDISE SOLD,Average,No,Taxable,,,,,,0,,,No,No,No,,,Accessories,Baseball,7/14/2025 2:51 pm,1/13/2026 1:32 am,,
83723,#21-Purple,Youth Belt,,Youth Belt,Youth Belt,21,,,Each,Each,Each,Each,No,1.99,Schutt Mfg,4.95,4.46,,4.46,SALES OF MERCHANDISE,INVENTORY,COST OF MERCHANDISE SOLD,Average,No,Taxable,5,5,,,,0,,,No,No,No,,,Accessories,Baseball,7/14/2025 2:51 pm,1/13/2026 1:32 am,,
114972,"#Num-Red-1.5""","1.5"" Die Cut Numbers - 1 Color",,"1.5"" Die Cut Numbers - 1 Color","1.5"" Die Cut Numbers - 1 Color",#Num,,,Set,Set,Set,Set,No,3.40,Procals/Sportdecals,6.80,6.12,,6.12,SALES OF MERCHANDISE,INVENTORY,COST OF MERCHANDISE SOLD,Average,No,Taxable,,,,,,,,,No,No,No,,,Decoration/Service,Football,1/6/2026 5:52 am,4/16/2026 2:02 pm,,
121020,++,Misc. Merchandise Not Taxed,,Misc. Merchandise Not Taxed,Misc. Merchandise Not Taxed,++,,,Each,Each,Each,Each,No,.00,Badger Sporting Goods,999.00,899.1,,899.1,SALES OF MERCHANDISE,INVENTORY,COST OF MERCHANDISE SOLD,Average,No,Taxable,,,,,,,,,No,No,No,,,Accessories,Equipment/Accessories,1/6/2026 6:19 am,7/16/2026 2:08 pm,,
205935,00052000058550,Gatorade 9 Gallon Cooler,,Gatorade 9 Gallon Cooler,Gatorade 9 Gallon Cooler,00052000058550,,,Each,Each,Each,Each,No,105.00,Quaker Sales & Dist,,,,,SALES OF MERCHANDISE,INVENTORY,COST OF MERCHANDISE SOLD,Average,No,Taxable,,,,,,0,,,No,No,No,,,Hydration,Equipment/Accessories,2/6/2026 11:23 am,2/18/2026 7:22 pm,New,
205923,00052000065459,Gatorade Single Cooler Cart,,Gatorade Single Cooler Cart 2nd Generation,Gatorade Single Cooler Cart 2nd Generation,00052000065459,,,Each,Each,Each,Each,No,315.00,Quaker Sales & Dist,,,,,SALES OF MERCHANDISE,INVENTORY,COST OF MERCHANDISE SOLD,Average,No,Taxable,,,,,,0,,,No,No,No,,,Hydration,Equipment/Accessories,2/6/2026 11:18 am,2/18/2026 7:22 pm,New,
204332,00052000065466,Double Cooler Cart 2nd Generation,,Double Cooler Cart 2nd Generation,Double Cooler Cart 2nd Generation,00052000065466,,,Each,Each,Each,Each,No,385.00,Quaker Sales & Dist,,,,,SALES OF MERCHANDISE,INVENTORY,COST OF MERCHANDISE SOLD,Average,No,Taxable,,,,,,0,,,No,No,No,,,Hydration : Gatorade,Medical/Fitness,1/14/2026 9:12 am,2/18/2026 7:19 pm,,
114974,002424,Decal BSB/SFB Helmet,,Decal BSB/SFB Helmet,Decal BSB/SFB Helmet,002424,,,Each,Each,Each,Each,No,2.10,Procals/Sportdecals,4.50,4.05,,4.05,SALES OF MERCHANDISE,INVENTORY,COST OF MERCHANDISE SOLD,Average,No,Taxable,,,,,,,,,No,No,No,,,Accessories,Baseball,1/6/2026 5:52 am,2/25/2026 2:02 pm,,
114975,002433,Football Helmet Decal,,Football Helmet Decal,Football Helmet Decal,002433,,,Pair,Pair,Pair,Pair,No,3.80,Procals/Sportdecals,5.00,4.5,,4.5,SALES OF MERCHANDISE,INVENTORY,COST OF MERCHANDISE SOLD,Average,No,Taxable,,,,,,,,,No,No,No,,,Accessories,Football,1/6/2026 5:52 am,7/15/2026 2:02 am,,
114978,005168,Decal Baseball Helmet,,Decal Baseball Helmet,Decal Baseball Helmet,005168,,,Each,Each,Each,Each,No,1.68,Procals/Sportdecals,4.00,3.6,,3.6,SALES OF MERCHANDISE,INVENTORY,COST OF MERCHANDISE SOLD,Average,No,Taxable,,,,,,0,,,No,No,No,,,Accessories,Baseball,1/6/2026 5:52 am,3/9/2026 2:02 pm,,
