style,description,pdf_page
0U325YS,"Classic M Synthetic Blend Cover, Fire™ Power Core,",4
0U375YCP,"Classic Plus Synthetic Blend Cover, Fire™ Power Core,",4
1BBBRG,"Cal Ripken B Grade Leather, Cork/Rubber Core, Raised Seam Official",3
1BBG,"Official League B Grade Leather, Cork/Rubber Core, Raised Seam Official",3
1BBLLG,"Little League RST Stamp B Grade Leather, Cork/Rubber Core, Raised Seam Official",3
1U40011YS,"Classic W Synthetic Blend Cover, Fire™ Power Core,",4
2A311FLY,"USA Softball® Approved (formerly ASA®) Perfection® Leather Cover,",4
2A311FY,"USA Softball® Approved (formerly ASA®) Synthetic Blend Cover,",4
2A312FLY,"USA Softball® Approved (formerly ASA®) Perfection® Leather Cover,",4
2BBBPAG,"Baseball Players Association B Grade Leather, Premium Blend Windings, Raised Seam Official",3
2BBBRG,"BABE RUTH SENIOR B Grade Leather, Premium Blend Windings, Raised Seam Official",3
2BBG,"Official League B Grade Leather, Premium Blend Windings, Raised Seam Official",3
2BBG-NFHS,"Official League NFHS/NOCSAE B Grade Leather, Premium Blend Windings, Raised Seam Official",3
2BBGF,"Official League Collegiate Flat Seam B Grade Leather, Premium Blend Windings, Flat Seam Official",3
2BBGU,"USSSA Senior B Grade Leather, Premium Blend Windings, Raised Seam Official",3
2BBLLG,"Little League RST Stamp B Grade Leather, Premium Blend Windings, Raised Seam Official",3
2BBPLG,"PONY LEAGUE SENIOR B Grade Leather, Premium Blend Windings, Raised Seam Official",3
2BBSLG,"Sr. Little League RST Stamp B Grade Leather, Premium Blend Windings, Raised Seam Official",3
2BS11SY-3,"All-Weather™ Synthetic Blend Cover, Poly Core 11""",4
2BSFPY,"Perfection® NFHS Game Ball Leather Cover, Poly Core,",4
2BSFPY-NS,"Perfection® Non-Stamped Game Ball Leather Cover, Poly Core,",4
2BSSFPY-3,"All-Weather™ Synthetic Blend Cover, Poly Core 12""",4
2BSSFPY-5002,"Fastpitch Composite ""Raised Red Seam"" Synthetic Blend Cover, Poly Core 12""",4
2U311FLY,"USSSA® Approved Perfection® Leather Cover,",4
2U312FLY,"USSSA® Approved Perfection® Leather Cover,",4
3B-PERF,"Perfection® Non-Stamped Pro Grade Leather,  A Grade Wool Windings, Raised Seam Official",3
3B-PPRO,"Perfection® Pro NFHS/NOCSAE Pro Grade Leather,  Pro Grade Wool Windings, Raised Seam Official",3
3B-PPROF-CL,"Perfection® Collegiate Flat Seam Pro Grade Leather,  Pro Grade Wool Windings, Flat Seam Official",3
ABB-B,"Autograph Blank Synthetic Cover, Red Stitching Official",3
ASB-Y,"Autograph Blank Synthetic Cover, Red Stitching",4
ASB21,"Autograph Blank Synthetic Cover, Red Stitching, 21”",4
BUCKET,"Ball Bucket Plastic, Padded Lid, Black or Optic Yellow bucket.  dz BB,2 dz SB",3
CANCELATIONS,Qualifying orders are non-cancelable.,5
DISCOUNTS,reflected on the invoice.,5
FPISA11,"ISA® Approved Perfection® Leather Cover,",4
FPISA12,"ISA® Approved Perfection® Leather Cover,",4
FPN11,"NSA® Approved Perfection® Leather Cover,",4
FPN12,"NSA® Approved Perfection® Leather Cover,",4
NOTBK-04,Baseball Notebook with Paper,3
OUPRO-M-C-00,"Pro M Composite Cover, Fire™ Power Core,",4
OUPRO-M-S-00,"Pro M Synthetic Blend Cover, Fire™ Power Core,",4
PBBKS,"Ballistic™ Pitching Machine Baseball Leather Cover, Dura Cork/Rubber Core, Flat Kevlar Seam Official",3
PBBR1-00,Ballistic™ 1-Piece Baseball 1-Piece Cover Official,3
PBBR1-AW-00,Ballistic™ 1-Piece All -Weather Baseball 1-Piece Cover Official,3
PBBRS,"Seamed Pitching Machine Baseball White TPU, Dimpled, Inset Red Seam Official",3
PR-0A1,"All-Weather™ Leather Cover, CoreGuard™, Raised Seam Official",3
PSBKS,"Ballistic™ Seamed Pitching Machine   Softball Leather Cover, Flat Kevlar Seam 12""",4
PSBR1-FP-00,Ballistic™ 1-Piece Training Softball 1-Piece Cover 12”,4
PSBR1-SEN-00,Ballistic™ 1-Piece Senior SP Softball 1-Piece Cover 12”,4
PSBRSY,"Seamed Pitching Machine Softball Optic Yellow TPU, Dimpled, Inset Red Seam 12""",4
RETURNS,"All returns, credits and/or replacements must have prior written approval from Baden.",5
SAF-5S,"Safety Baseball Synthetic Leather Cover, Safety Level",3
SAF-BST,"Safety T-Ball Synthetic Leather Cover, Safety Level",3
SBBR,"FeatherLite™ Featherlite™ Limited Flight, Dimpled, Inset Red Seam Official",3
SF10Y1,"Safety Softball Synthetic Blend Cover, Safety Level",4
SF11Y1,"Safety Softball Synthetic Blend Cover, Safety Level",4
SF12Y1,"Safety Softball Synthetic Blend Cover, Safety Level",4
SPFIREPRO,"Fire™ Synthetic Blend Cover, Fire™ Power Core,",4
