style,description,pdf_page
PTS20,PTS Pulse Mid Pro R-Flex / Stock,2
PTS20M,PTS Pulse Mid Pro R-Flex Mesh Back/ Stock,2
PTS30,PTS Ignite Lite Mid Pro R-Flex/ Stock,2
PTS50,PTS Dryve Full Pro R-Flex/ Stock,2
PTS65,PTS Surge Fitted/ Stock,2
PTS75,PTS Score Full Pro2 System 5/ Stock,2
R15,Solid Knit,2
R18,Solid Beanie w/ Cuff,2
R20,Microfleece Beanie,2
R22,Microfleece Headband,2
R45,Garment Washed Visor,2
R55,Garment Washed Twill,2
R65S,Relaxed Twill with Snapback,2
R75S,Casual Twill with Snapback,2
110,R-Flex Trucker,2
111,Garment Washed Trucker,2
111P,Garment Washed Printed Trucker,2
111PT,Relaxed Tactical Multicam Trucker,2
111T,Relaxed Tactical Trucker,2
112,Trucker Mesh Back,2
112FP,Five Panel Trucker,2
112FPC,Five Panel Champ Trucker,2
112FPR,Five Panel Trucker with Rope,2
112LN,Lined Winter Trucker,2
112LTD,Trucker Mesh Back/ Limited Edition,2
112P,Printed 6 Panel Camo Trucker,2
112PFP,Printed 5 Panel Camo Trucker,2
112PL,R-Flex Adjustable Trucker,2
PTS20CU,Pulse R-Flex,2
PTS30CU,Ignite lt R-Flex,2
PTS65CU,Surge Fitted  (36 minimum qty),2
PTS75CU,Score System 5,2
PTS20C,PTS Pulse Mid Pro R-Flex / Custom USA,2
PTS30C,PTS Ignite Lite Mid Pro R-Flex/ Custom USA,2
PTS62C,PTS Surge Adjustable/ Custom USA,2
PTS65C,PTS Surge Fitted/ Custom USA,2
PTS65CX,PTS Surge Fitted/ Custom USA Express,2
112PM,Printed Mesh Trucker,3
112PT,Printed Tactical Trucker,3
112RE,Recycled Trucker,3
112T,Tactical Trucker,3
112WF,Fremont - Workwear Trucker,3
112WH,Hawthorne - Workwear Trucker,3
113,Foam Front Trucker,3
115,Low Pro Trucker,3
115CH,Low Pro Heather Trucker,3
121,Fleece Beanie,3
126,Duck Camo Beanie,3
130,Marled Beanie,3
134,Striped Beanie,3
135,Short Pom Beanie,3
137,Heathered Beanie with Cuff,3
139RE,Recycled Knit,3
141,Chunk Twist Knit Beanie,3
143,Chunk Cable Beanie,3
145,Scrunch Beanie,3
146,Waffle Knit Beanie,3
147,Slouch Knit Beanie,3
148,Heathered Beanie w/ Pom,3
149,Super Slouch Knit Beanie,3
154,Merino Wool Knit,3
157,Speckled Knit,3
160,Lite Performance Visor,3
163,Laser Perf Five Panel Trucker,3
168,7 Panel Trucker,3
168P,Printed 7 Panel Trucker,3
169,7 Panel Performance Cap with Laser Perf,3
172,Pulse Sportmesh R-Flex,3
173,Hood River Performance Trucker,3
185,Twill R-Flex,3
203,Brushed Chino Twill,3
212,Pro Twill Snapback,3
213,Low Pro Foamie Trucker,3
214,Pro Twill Hook and Loop,3
217,Macleay 5 Panel Camper Cap,3
220,Relaxed Performance Lite,3
222,Airmesh Lite Trucker,3
224RE,Recycled Relaxed Performance,3
225,Casual Performance Lite,3
226,Relaxed Performance Laser Perf,3
228,Low Pro Performance Laser Perf,3
252,Premium Cotton Dad Hat,3
253,Timberline Corduroy Cap,3
254RE,Ashland Recycled Unstructured,3
255,Pinch Front Structured Snapback,3
256,Umpqua Gramps Cap,3
256P,Printed Umpqua Gramps Cap,3
257,7 Panel Twill Leather Strapback,3
258,5 Panel Classic Rope Cap,3
258P,Printed 5 Panel Classic Rope Cap,3
262,Relaxed 6 Panel Snapback,3
309,Mid Pro Canvas Duck Cloth,3
312,Mid Pro Twill Cap,3
312P,Printed Mid Pro Twill Cap,3
320T,Toddler Chino,3
323FPC,Full Fabric 5 Panel Champ Snapback,3
324,Pigment Dyed and Washed,3
