style,description
111000,Play Ball Softball Pant
1BASER,Baserunner Backpack
217112,Girls' Revolution Softball Pants (Athletic)
2CVIS,Vision Classic Batting Helmet 2
2CVISJ,RIP-IT Vision Classic Batting Helmet 2
2CVISN,RIP-IT Vision Classic Batting Helmet 2
2TOURN,RIP-IT Tournament Softball Backpack 2
317111,Women's Revolution Softball Pants (Curvy)
317112,Women's Revolution Softball Pants (Athletic)
317113,Women's Revolution Softball Pants (Straight)
333000,Softball Sliding Shorts with Period Protection - Women's
3TOURN,Tournament 3 Backpack
DGBO,Defense Pro Softball Fielder's Mask
DGBOM,RIP-IT Youth Original Defense Softball Fielder's Mask PRO
DGCHIN,- Chin Cup
DGPAD,- Defense Pad Replacement
DGSTRAP,- Ponytail Strap
PBBTG,RIP-IT Girls Play Ball Starlight Softball Batting Glove
PBDG,Play Ball Softball Fielder's Mask
PBFLDG,RIP-IT Girls Play Ball Starlight Softball Fielders Glove
PBH,Play Ball Softball Batting Helmet
PBPACK,Play Ball Softball Backpack
PBPNT,RIP-IT Girls Play Ball Starlight Softball Pants
RIPDG,Defense Softball Fielder's Mask
RIPDV,- Defense Visor
RIPGOR2C,RIP-IT Ringor Cleats
RIPGOR2T,RIP-IT Ringor Turfs
RIPGORC,RIP-IT Ringor Pro Cleat
RIPGORCC2,RIP-IT Ringor Cleat
RIPGORS,RIP-IT Ringor Pro Spike
RIPGORT,RIP-IT Ringor Pro Turf
RIPGORTC2,RIP-IT Ringor Turf
RIPPBC,RIP-IT Girls Play Ball Cleat
SRPK,RIP-IT Spark Fast-Pitch Bat
VIS,Vision Pro Matte Two Tone Softball Batting Helmet
VIS-M,Vision Pro Matte Softball Batting Helmet
VIS-TTM,Vision Pro Matte Two Tone Softball Batting Helmet
VISJ,RIP-IT Vision Pro Matte Softball Batting Helmet
VISN,RIP-IT Vision Pro Matte Softball Batting Helmet
VISS,RIP-IT Vision Pro Matte Softball Batting Helmet
VISX,RIP-IT Vision Pro Matte Softball Batting Helmet
