style,description,pdf_page
100,(Custom) Youth Standard Weight Youth (CUSTOM),1
1100H,One Size Terry Headband,1
1200W,"One Size Terry Wristband 3.5""",1
200,(Custom) Intermediate Standard Weight Intermediate (CUSTOM),1
300,(Custom) Adult Standard Weight Adult (CUSTOM),1
5300W,"One Size Terry Wristband 5""",1
700,(Custom) Pro Adult Heavy Weight Pro Adult (CUSTOM),1
BBPC3,"S, M, L Baseline 3.0 Crew",1
BCAC1,"S, M, L, XL Woodland Aware Crew",1
BCAO1,"S, M, L, XL Woodland Aware Over-Calf",1
BELTE,"Adult, Youth Elastic Belt",1
BELTL,30 - 44 Leather Belt,1
BKRAWR,"S, M, L, XL Breaker Aware Over-Calf",1
BKRO1,"S, M, L, XL Breaker Over-Calf",1
CRNCHC,"S, M, L, XL Crunch Crew",1
CRNCHO,"S, M, L, XL Crunch Over-Calf",1
CRNCHS,"S, M, L, XL Crunch Leg Sleeve",1
DBK,"S, M, L, XL Dugout Builder Over-Knee (CUSTOM)",1
DBO,"S, M, L, XL Dugout Builder Over-Calf (CUSTOM)",1
DBO035,"S, M, L, XL Freedom Over-Calf",1
DBO43,"S, M, L, XL Dugout Series 2025 Over-Calf",1
DBOK035,"S, M, L, XL Freedom Over-Knee",1
FLNAWR,"S, M, L, XL Fastline Aware Crew",1
FS111,"XS, S, M, L Sport Light Value Tube Over-Calf",1
FSH,"M, L Euro Over-Calf",1
GSVPC,"M, L, XL Practice Value Crew",1
GSVPR,"M, L, XL Practice Value Roll",1
LBBPC,"S, M, L, XL Baseline Crew w/Logo (CUSTOM)",1
LBBPO,"S, M, L, XL Baseline Over-Calf w/Logo (CUSTOM)",1
LBCC3,"S, M, L, XL Aware Crew",1
LBCO3,"S, M, L, XL Aware Over-Calf",1
LBKRK,"S, M, L, XL Breaker Over-Knee w/Logo (CUSTOM)",1
LBKRO,"S, M, L, XL Breaker Over-Calf w/Logo (CUSTOM)",1
LC2347,"S, M, L, XL Victory Crew w/Logo (CUSTOM)",1
LCBR1,"S, M, L, XL Color Block Low-Cut w/Logo (CUSTOM)",1
2025,TCK Sports Price List,1
LCHFL,"S, M, L, XL Luau Crew w/Logo (CUSTOM)",2
LCMSL,"S, M, L, XL Vintage Cotton Slouch w/Logo (CUSTOM)",2
LCQ01,"S, M, L, XL Vintage Cotton Quarter w/Logo (CUSTOM)",2
LDBCC,"S, M, L, XL Digital Camo Aware Crew",2
LDBO97,"S, M, L, XL Patriot Over-Calf w/Logo (CUSTOM)",2
LFSTPC,"M, L, XL Tape Sock w/Logo (CUSTOM)",2
LP015,"S, M, L Neon Over-Calf",2
LP019,"S,M Leopard Over-Calf",2
LPCM1,"S, M, L, XL Champion Over-Calf w/Logo (CUSTOM)",2
LPCMK,"S, M, L, XL Champion Over-Knee w/Logo (CUSTOM)",2
LPFLM,"S,M Flames Over-Calf",2
LPMPCT,"S, M, L, XL Perimeter 2.0 Crew w/Logo (CUSTOM)",2
LPMPOT,"S, M, L, XL Perimeter 2.0 Over-Calf w/Logo (CUSTOM)",2
LPPD,"S,M Polkadot Over-Calf",2
LPTWT,"S, M, L, XL Performance Tube Over-Calf w/Logo (CUSTOM)",2
LPTWTK,"S, M, L, XL Performance Tube Over-Knee w/Logo (CUSTOM)",2
LPZ,"S,M Zebra Over-Calf",2
LUGC1,"S, M, L, XL Performance Crew w/Logo (CUSTOM)",2
LUGQ1,"S, M, L, XL Performance Quarter w/Logo (CUSTOM)",2
LUGR1,"S, M, L, XL Performance Low-cut w/Logo (CUSTOM)",2
LUSA1,"S, M, L, XL USA Crew",2
LUSC1,"S, M, L, XL USA Flag Crew w/Logo (CUSTOM)",2
LWCMC2,"S, M, L, XL Ranger Crew w/Logo (CUSTOM)",2
MC3269,"S, M, L, XL Shortstack Mini Crew",2
MLSS1,"S/M, L/XL Soccer Leg Sleeve",2
MSC,"XS, S, M, L Multisport Acrylic Tube Over-Calf",2
MSY,"XS, S, M, L Multisport Acrylic Tube Over-Calf",2
MSR,"XS, S, M, L Multisport Acrylic Tube Over-Calf",2
MSK,"XS, S, M, L Multisport Acrylic Tube Over-Calf",2
MSST1,"L, XL, XXL Sanitary Cotton Liner Over-Calf",2
MSXL1,XL Multisport Acrylic Tube Over-Calf,2
NHP01,"S, M, L, XL Ace Over-Calf",2
OBY,"S, M, L OB Series Acrylic Tube Over-Calf",2
OBR,"S, M, L OB Series Acrylic Tube Over-Calf",2
OBK,"S, M, L OB Series Acrylic Tube Over-Calf",2
P3S,"S, M, L Finale Trio Over-Calf",2
P3TWT,"XS, S, M, L Prosport Trio Over-Calf",2
PCM,"S, M, L, XL Champion Over-Calf",2
PS,"XS, S, M, L, XL Finale Over-Calf",2
PTOTK,"S, M, L, XL Prosport Over-Knee",2
PTWT1,"XS, S, M, L, XL Prosport Over-Calf",2
PTWTC,"S, M, L Prosport Crew",2
R6,"XS, S, M, L 2-in-1 Ribbon Stirrup Over-Calf",2
R8,"XS, S, M, L 2-in-1 Ribbon Stirrup Over-Calf",2
R10,"XS, S, M, L 2-in-1 Ribbon Stirrup Over-Calf",2
R12,"XS, S, M, L 2-in-1 Ribbon Stirrup Over-Calf",2
R8CS,"S, M, L Candy Stripe Over-Calf",2
R10CS,"S, M, L Candy Stripe Over-Calf",2
R12CS,"S, M, L Candy Stripe Over-Calf",2
RCO,"M, L, XL Reac Acrylic Crew",2
