missing_color,disposition,maps_to
Stadium Green,CREATE,
Ash Grey,VARIANT,ASH GREY
Black/ Anthracite/ White,VARIANT,Black/Anthracite/White
Black/ Black,VARIANT,Black/Black
Black/ Black/ Red,VARIANT,Black/Black/Red
Black/ Charcoal,VARIANT,Black/Charcoal
Black/ Dark Grey,VARIANT,Black/Dark Grey
Black/ Gold,VARIANT,Black/Gold
Black/ Graphite,VARIANT,Black/Graphite
Black/ Graphite/ White,VARIANT,Black/Graphite/White
Black/ Heather Grey,VARIANT,Black/Heather Grey
Black/ Orange,VARIANT,Black/Orange
Black/ Red,VARIANT,Black/Red
Black/ Royal,VARIANT,Black/Royal
Black/ Scarlet,VARIANT,Black/Scarlet
Black/ White,VARIANT,Black/White
Black/ White/ Red,VARIANT,Black/White/Red
Blustery/ Navy,VARIANT,Blustery/Navy
Cardinal/ White,VARIANT,Cardinal/White
Charcoal Black Triblend,VARIANT,Charcoal-Black Triblend
Charcoal/ Black,VARIANT,Charcoal/Black
Charcoal/ Navy,VARIANT,Charcoal/Navy
Charcoal/ Neon Orange,VARIANT,Charcoal/Neon Orange
Charcoal/ White,VARIANT,Charcoal/White
Columbia Blue/ Navy,VARIANT,Columbia Blue/Navy
Columbia Blue/ White,VARIANT,Columbia Blue/White
Dark Green/ White,VARIANT,Dark Green/White
Dark Heather Grey/ Black,VARIANT,Dark Heather Grey/Black
Deep Royal,VARIANT,DEEP ROYAL
Deep Smoke,VARIANT,DEEP SMOKE
Dove Grey,VARIANT,DOVE GREY
Forest Green/ White,VARIANT,Forest Green/White
Gold/ White,VARIANT,Gold/White
Graphite/ Black,VARIANT,Graphite/Black
Grey Smoke,VARIANT,GREY SMOKE
Grey Steel/ Bone,VARIANT,Grey Steel/Bone
Grey/ Black,VARIANT,Grey/Black
Grey/ Black Buffalo Check,VARIANT,Grey/Black Buffalo Check
Grey/ Charcoal/ Black,VARIANT,Grey/Charcoal/Black
Grey/ Grey,VARIANT,Grey/Grey
Heather,VARIANT,HEATHER
Hibiscus,VARIANT,HIBISCUS
Iron Grey/ White,VARIANT,Iron Grey/White
J. Navy,VARIANT,J.Navy
Kelly Green/ White,VARIANT,Kelly Green/White
Khaki/ Coffee,VARIANT,Khaki/Coffee
Light Blue/ White,VARIANT,Light BLue/White
Light Khaki/ White,VARIANT,Light Khaki/White
Light Pink,VARIANT,LIGHT PINK
Maroon/ White,VARIANT,Maroon/White
Natural/ Black,VARIANT,Natural/Black
Navy/ Charcoal,VARIANT,Navy/Charcoal
Navy/ Graphite,VARIANT,Navy/Graphite
Navy/ Heather Grey,VARIANT,Navy/Heather Grey
Navy/ Navy,VARIANT,Navy/Navy
Navy/ Steel Grey,VARIANT,Navy/Steel Grey
Navy/ White,VARIANT,Navy/White
Orange/ Black,VARIANT,Orange/Black
Orange/ White,VARIANT,Orange/White
Purple/ White,VARIANT,Purple/White
Quiet Shade Grey Heather/ Black,VARIANT,Quiet Shade Grey Heather/Black
Radish/ Black,VARIANT,Radish/Black
Realtree Edge/ Coyote Brown,VARIANT,Realtree Edge/Coyote Brown
Red/ Black,VARIANT,Red/Black
Red/ Black Buffalo Check,VARIANT,Red/Black Buffalo Check
Red/ White,VARIANT,Red/White
Red/ White/ Black,VARIANT,Red/White/Black
Red/ White/ Navy,VARIANT,Red/White/Navy
Royal/ Black,VARIANT,Royal/Black
Royal/ Black/ White,VARIANT,Royal/Black/White
Royal/ White,VARIANT,Royal/White
Royal/ White/ Red,VARIANT,Royal/White/Red
Safety Orange/ Reflective,VARIANT,Safety Orange/Reflective
Safety Yellow/ Reflective,VARIANT,Safety Yellow/Reflective
Scarlet/ Black/ White,VARIANT,Scarlet/Black/White
Stonewash Denim,VARIANT,Stone Wash Denim
T. Orange,VARIANT,T Orange
True Blue/ White,VARIANT,True Blue/White
True Navy/ True Navy Heather,VARIANT,True Navy/True Navy Heather
Vintage Heather/ Black,VARIANT,Vintage Heather/Black
White/ Aluminum/ Navy,VARIANT,White/Aluminum/Navy
White/ Black,VARIANT,White/Black
White/ Black/ Black,VARIANT,White/Black/Black
White/ Maroon,VARIANT,White/Maroon
White/ Navy,VARIANT,White/Navy
White/ Purple,VARIANT,White/Purple
White/ Red,VARIANT,White/Red
White/ Royal,VARIANT,White/Royal
White/ White,VARIANT,White/White
White/ White/ Columbia Blue,VARIANT,White/White/Columbia Blue
