style,color_name,size,upc_to_write,netsuite_item_id,match_method
29M,White,Small,00042463028870,180284,option:name
29M,White,Medium,00042463028863,180216,mainframe
29M,White,Large,00042463028856,180215,mainframe
29M,White,X-Large,00042463028887,180342,mainframe
29M,White,3X-Large,00042463765140,180282,option:name
29M,White,2X-Large,00042463608379,180283,option:name
29M,Ash,Small,00042463063093,180356,mainframe
29M,Ash,Medium,00042463061365,180355,mainframe
29M,Ash,Large,00042463061358,180354,mainframe
29M,Ash,X-Large,00042463061389,180353,mainframe
29M,Ash,3X-Large,00042463742578,180351,mainframe
29M,Ash,2X-Large,00042463535149,180352,mainframe
29M,Black,Small,00042463008513,180494,option:name
29M,Black,Medium,00042463008520,180491,option:name
29M,Black,Large,00042463008537,180487,option:name
29M,Black,X-Large,00042463008544,180484,option:name
29M,Black,3X-Large,00042463008551,180477,option:name
29M,Black,2X-Large,00042463008568,180481,option:name
29M,Burnt Orange,Small,00042463063109,180322,mainframe
29M,Burnt Orange,Medium,00042463064601,180321,mainframe
29M,Burnt Orange,Large,00042463064595,180320,mainframe
29M,Burnt Orange,X-Large,00042463064229,180319,mainframe
29M,Burnt Orange,2X-Large,00042463701506,180318,mainframe
29M,Burnt Orange,3X-Large,00042463965359,180317,mainframe
29M,Gold,Small,00042463056507,180432,mainframe
29M,Gold,Medium,00042463056491,180430,mainframe
29M,Gold,Large,00042463056484,180428,mainframe
29M,Gold,X-Large,00042463056514,180426,mainframe
29M,Gold,2X-Large,00042463768110,180425,mainframe
29M,Maroon,Small,00042463052264,180380,option:name
29M,Maroon,Medium,00042463052257,180379,option:name
29M,Maroon,Large,00042463052240,180377,option:name
29M,Maroon,X-Large,00042463052271,180375,option:name
29M,Maroon,2X-Large,00042463770984,180373,option:name
29M,Maroon,3X-Large,00042463693856,180371,option:name
29M,White,4X-Large,00042463137992,180281,option:name
29M,Ash,4X-Large,00042463138012,180253,mainframe
29M,Black,4X-Large,00042463259946,180475,option:name
29M,Ash,5X-Large,00042463331550,180252,mainframe
29M,Black,5X-Large,00042463274000,180474,option:name
29M,Gold,4X-Large,00042463331581,180183,mainframe
29M,Kiwi,Small,00885306016388,180397,mainframe
29M,Kiwi,Medium,00885306016395,180396,mainframe
29M,Kiwi,Large,00885306016401,180394,mainframe
29M,Kiwi,2X-Large,00885306016425,180260,mainframe
29M,Kiwi,3X-Large,00885306016432,180259,mainframe
29M,Royal,Small,00885306019099,180310,option:name
29M,Royal,Medium,00885306019105,180306,option:name
29M,Royal,Large,00885306019112,180302,option:name
29M,Royal,X-Large,00885306019129,180297,option:name
29M,Royal,2X-Large,00885306016739,180292,option:name
29M,Royal,3X-Large,00885306016746,180288,option:name
29M,Royal,4X-Large,00885306016753,180286,option:name
29M,Columbia Blue,Small,00885306016487,180211,mainframe
29M,Columbia Blue,Medium,00885306016494,180210,mainframe
29M,Columbia Blue,Large,00885306016500,180209,mainframe
29M,Columbia Blue,X-Large,00885306016517,180208,mainframe
29M,Columbia Blue,2X-Large,00885306016524,180198,mainframe
29M,Columbia Blue,3X-Large,00885306016531,180196,mainframe
29M,Black Heather,Small,00042463274123,180432,option:name
29M,Black Heather,Medium,00042463274130,180430,option:name
29M,Black Heather,Large,00042463274147,180428,option:name
29M,Black Heather,X-Large,00042463274154,180426,option:name
29M,Black Heather,2X-Large,00042463274161,180425,option:name
29M,Black Heather,3X-Large,00042463274178,180422,option:name
29M,Black Heather,4X-Large,00885306105105,180421,option:name
29M,Burnt Orange,4X-Large,00042463331543,180236,mainframe
29M,Kiwi,4X-Large,00885306016449,180258,mainframe
29M,Maroon,4X-Large,00885306105389,180370,option:name
29M,Charcoal Grey,Small,00885306084233,100757,option:heur
29M,Charcoal Grey,Medium,00885306084240,100756,option:heur
29M,Charcoal Grey,Large,00885306084257,100755,option:heur
29M,Charcoal Grey,X-Large,00885306084264,100754,option:heur
29M,Charcoal Grey,2X-Large,00885306084196,100753,option:heur
29M,Charcoal Grey,3X-Large,00885306084202,100752,option:heur
29M,Neon Green,Small,00885306165949,100764,option:heur
29M,Neon Green,2X-Large,00885306166106,100763,option:heur
29M,Neon Green,3X-Large,00885306166113,100762,option:heur
29M,Silver,Small,00885306165901,180439,option:name
29M,Silver,Medium,00885306165918,180438,option:name
29M,Silver,Large,00885306165925,180437,option:name
29M,Silver,X-Large,00885306165932,180436,option:name
29M,Silver,3X-Large,00885306166199,180435,option:name
29M,Silver,4X-Large,00885306166205,180434,option:name
29M,Athletic Heather,Small,00885306250324,180335,option:name
29M,Athletic Heather,Medium,00885306250331,180333,option:name
29M,Athletic Heather,Large,00885306250348,180330,option:name
29M,Athletic Heather,X-Large,00885306250355,180328,option:name
29M,Athletic Heather,2X-Large,00885306249922,180326,option:name
29M,Athletic Heather,3X-Large,00885306249939,180325,option:name
29M,Athletic Heather,4X-Large,00885306249946,180324,option:name
29M,Athletic Heather,5X-Large,00885306249953,180323,option:name
29M,Gold,5X-Large,00885306105235,180182,mainframe
29M,Kiwi,5X-Large,00885306016456,180257,mainframe
29M,Royal,5X-Large,00885306016760,180285,option:name
29M,Scuba Blue,3X-Large,00885306558086,100758,option:heur
29M,Scuba Blue,Large,00885306557393,100759,option:heur
29M,Scuba Blue,Medium,00885306557386,100760,option:heur
29M,Scuba Blue,Small,00885306557362,100761,option:heur
4662M,Ash,Small,00042463088911,182951,mainframe
4662M,Ash,Medium,00042463088928,182950,mainframe
4662M,Ash,Large,00042463088935,182949,mainframe
4662M,Ash,X-Large,00042463088904,182948,mainframe
4662M,Black,Small,00042463009640,182957,mainframe
4662M,Black,Medium,00042463009657,182956,mainframe
4662M,Black,Large,00042463009664,182955,mainframe
4662M,Black,X-Large,00042463009671,182954,mainframe
4662M,Ash,2X-Large,00042463769384,182947,mainframe
4662M,Black,2X-Large,00042463009688,182953,mainframe
4662M,Ash,3X-Large,00042463797486,182946,mainframe
4662M,Black,3X-Large,00042463009695,182952,mainframe
562M,White,Small,00042463733569,34917,option:name
562M,White,Medium,00042463519835,34918,option:name
562M,White,Large,00042463133154,34919,option:name
562M,White,X-Large,00042463849253,34920,option:name
562M,White,3X-Large,00042463537464,34922,option:name
562M,White,2X-Large,00042463664726,34921,option:name
562M,Ash,Small,00042463185306,34923,option:name
562M,Ash,Medium,00042463863679,34924,option:name
562M,Ash,Large,00042463131495,34925,option:name
562M,Ash,X-Large,00042463672998,34926,option:name
562M,Ash,3X-Large,00042463982899,34928,option:name
562M,Ash,2X-Large,00042463811182,34927,option:name
562M,Black,Small,00042463009282,34930,option:name
562M,Black,Medium,00042463009299,34931,option:name
562M,Black,Large,00042463009305,34932,option:name
562M,Black,X-Large,00042463009312,34933,option:name
562M,Black,3X-Large,00042463009336,34935,option:name
562M,Black,2X-Large,00042463009329,34934,option:name
562M,Ash,4X-Large,00042463748372,34929,option:name
562M,Black,4X-Large,00042463009343,34936,option:name
562M,Oxford,Small,00042463684083,39747,option:name
562M,Oxford,Medium,00042463871261,39748,option:name
562M,Oxford,Large,00042463558940,39749,option:name
562M,Oxford,X-Large,00042463888511,39750,option:name
562M,Oxford,2X-Large,00042463668076,39751,option:name
562M,Oxford,3X-Large,00042463957477,39752,option:name
562M,Oxford,4X-Large,00042463592920,39753,option:name
562M,Maroon,Small,00042463864676,34943,option:name
562M,Maroon,Medium,00042463283002,34944,option:name
562M,Maroon,Large,00042463194223,34945,option:name
562M,Maroon,X-Large,00042463131648,34946,option:name
562M,Maroon,2X-Large,00042463850570,34947,option:name
562M,Black Heather,Small,00042463379163,39089,option:name
562M,Black Heather,Medium,00042463379170,39090,option:name
562M,Black Heather,Large,00042463379187,39091,option:name
562M,Black Heather,X-Large,00042463379194,39092,option:name
562M,Black Heather,2X-Large,00042463379200,39093,option:name
562M,Black Heather,3X-Large,00042463379217,39094,option:name
562M,Royal,Small,00885306017071,34958,option:name
562M,Royal,Medium,00885306017088,34959,option:name
562M,Royal,Large,00885306017095,34898,option:name
562M,Royal,X-Large,00885306017101,34899,option:name
562M,Royal,2X-Large,00885306016043,34900,option:name
562M,Royal,3X-Large,00885306016050,34901,option:name
562M,Safety Orange,Small,00885306160166,34910,option:heur
562M,Safety Orange,Medium,00885306160173,34911,option:heur
562M,Safety Orange,Large,00885306160180,34912,option:heur
562M,Safety Orange,X-Large,00885306160197,34913,option:heur
562M,Safety Orange,2X-Large,00885306160401,34914,option:heur
562M,Safety Orange,3X-Large,00885306160418,34915,option:heur
562M,Royal,4X-Large,00885306016067,34902,option:name
562M,Black Heather,4X-Large,00885306024468,39095,option:name
562M,Safety Green,Small,00042463143436,34903,option:heur
562M,Safety Green,Medium,00042463143443,34904,option:heur
562M,Safety Green,Large,00042463143450,34905,option:heur
